,Weight,Elevators,theta,rou,result
3348,27,10,38,105,7.2
26803,20,34,48,85,3.4
1658,93,44,43,110,45.3
24644,88,71,41,85,43.2
29207,75,61,52,75,39.4
6228,30,18,41,85,31.9
2719,34,49,43,100,45.5
22433,0,64,38,90,12.1
24067,70,68,35,105,44.7
18045,87,50,38,95,41.3
26035,15,25,48,85,3.4
17341,87,48,41,110,45.6
5752,66,16,35,85,7.5
26922,70,34,48,80,46.2
23335,27,66,38,85,35.0
10690,57,30,35,100,7.6
21651,93,60,35,100,40.5
5131,78,14,38,95,8.3
23648,72,66,35,110,45.3
22451,3,64,35,110,16.3
21710,99,60,41,115,47.1
12594,21,36,41,100,48.4
4077,30,12,35,110,5.5
24164,82,68,41,100,45.2
24308,40,71,41,85,35.2
29107,35,61,48,85,31.3
15399,15,44,38,95,45.0
2397,52,52,43,100,46.8
3781,90,10,35,100,5.9
9019,21,26,38,110,6.8
6081,9,18,41,85,39.7
25779,15,22,48,65,45.9
195,80,85,30,100,41.3
3337,27,10,35,85,7.5
15523,33,44,38,85,45.0
16327,45,46,38,115,7.2
25183,80,13,48,85,34.0
5129,78,14,38,85,10.5
2375,56,46,43,100,47.7
109,35,40,30,100,5.7
27351,40,40,48,65,43.7
1514,0,20,55,45,31.7
9134,39,26,35,90,9.8
5333,6,16,35,90,9.1
8446,42,24,35,115,5.7
785,95,60,50,90,45.3
13195,6,38,38,95,45.8
